path,source_type,original_category,prior_action,action,reason
EMAIL_DELIVERABILITY_ITERATION3.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_DELIVERABILITY_ITERATION3_FINAL_REVIEW.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_DELIVERABILITY_ITERATION3_LIVE_PLAN.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_DELIVERABILITY_ITERATION3_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_DELIVERABILITY_ITERATION3_STEP0.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_DELIVERABILITY_ITERATION3_UI_GAP.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_INTEGRITY_ITERATION1_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_INTEGRITY_STEP0_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_PACING_ITERATION2.md,project_owned_untracked,CURRENT_DOC,KEEP,TRACK_DOCUMENTATION,Current task/evidence document with no detected email or secret value; preserved as project documentation.
EMAIL_PACING_ITERATION2_P0_CORRECTIVE_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_PACING_ITERATION2_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
EMAIL_PACING_ITERATION2_STEP0.md,project_owned_untracked,CURRENT_DOC,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
frontend/.storybook/main.ts,project_owned_untracked,FRONTEND,KEEP,TRACK_TOOLING,Storybook configuration required by tracked visual test entrypoints.
frontend/.storybook/preview.ts,project_owned_untracked,FRONTEND,KEEP,TRACK_TOOLING,Storybook configuration required by tracked visual test entrypoints.
frontend/playwright.live-email.config.ts,project_owned_untracked,FRONTEND,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/playwright.real-email.config.ts,project_owned_untracked,FRONTEND,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/fixtures/real-mail-ru-welcome.html,project_owned_untracked,TEST,KEEP,LOCAL_ONLY,Real-mail diagnostic fixture/code contains provider mailbox identities or captured mail data; safe synthetic replacement is deferred.
frontend/tests/fixtures/real-mail-ru-welcome.txt,project_owned_untracked,TEST,KEEP,LOCAL_ONLY,Real-mail diagnostic fixture/code contains provider mailbox identities or captured mail data; safe synthetic replacement is deferred.
frontend/tests/frontend-audit.spec.ts-snapshots/mobile-large-login-mobile-large-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/frontend-audit.spec.ts-snapshots/mobile-small-login-mobile-small-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/live-email-regression.spec.ts,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/real-email-diagnostic.spec.ts,project_owned_untracked,TEST,KEEP,LOCAL_ONLY,Real-mail diagnostic fixture/code contains provider mailbox identities or captured mail data; safe synthetic replacement is deferred.
frontend/tests/storybook-visual.spec.ts-snapshots/mail-emailrenderer--marketing-spacer-cleanup-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/storybook-visual.spec.ts-snapshots/mail-emailrenderer--plain-text-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/storybook-visual.spec.ts-snapshots/mail-emailrenderer--remote-images-blocked-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
frontend/tests/storybook-visual.spec.ts-snapshots/mail-emailrenderer--rich-html-win32.png,project_owned_untracked,TEST,KEEP,TRACK_TEST,Current browser test/config or reviewed synthetic visual snapshot; no credentials or real mailbox fixture is added.
JOB46_CONTROLLED_RETRY_AFTER.md,project_owned_untracked,CURRENT_DOC,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
JOB46_CONTROLLED_RETRY_BEFORE.md,project_owned_untracked,CURRENT_DOC,KEEP,LOCAL_ONLY,Mail evidence or secret-related material is present; raw user/mail data is not added to the canonical baseline.
keywords.txt,project_owned_untracked,UNKNOWN,UNKNOWN,UNKNOWN_REVIEW,No current runtime or documentation owner was proven; retained locally for a separate owner decision.
mailru-mvp-backup-20260829/frontend/src/components/Composer.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/frontend/src/components/RequestPage.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/frontend/src/lib/api.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/frontend/src/lib/types.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/frontend/src/pages/CampaignPage.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/frontend/src/pages/Settings.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/mail/providers/yandex.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/mail/repository.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/mail/service.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/repository-before-binding-fix.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
mailru-mvp-backup-20260829/supplier_app.py,project_owned_untracked,BACKEND,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4.zip,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL.zip,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/00_README.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4_STEP0.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_FINAL_REVIEW.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_LIVE_PLAN.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_STEP0.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_UI_GAP.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/mail-integration.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/messages-and-mail-audit.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/PROJECT_DOCUMENTATION.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/01_DOCUMENTATION/PROJECT_STATUS.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/bounce.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/deliverability.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/pacing.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/repository.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/service.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/mail/types.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/02_BACKEND/supplier_app.py,project_owned_untracked,BACKEND,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/03_MIGRATIONS/001_mail_integration.sql,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/03_MIGRATIONS/022_outgoing_mail_integrity.sql,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/03_MIGRATIONS/023_mail_pacing.sql,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/03_MIGRATIONS/024_deliverability.sql,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/04_TESTS/test_mail_deliverability.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/04_TESTS/test_mail_integration.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/04_TESTS/test_mail_integrity.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/04_TESTS/test_mail_pacing.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/App.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/components/Composer.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/components/RequestPage.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/lib/api.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/lib/campaign.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/lib/types.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/pages/CampaignPage.tsx,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/src/useRequestState.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/05_FRONTEND/tests/campaign-ui.spec.ts,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/FILE_MANIFEST.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_20260829_0939/FINAL_REVIEW_SUMMARY.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2.zip,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/00_README.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_CAMPAIGN_UI_ITERATION4_STEP0.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_LIVE_PLAN.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_REPORT.md,project_owned_untracked,HISTORICAL_DOC,ARCHIVE_CANDIDATE,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/EMAIL_DELIVERABILITY_ITERATION3_STEP0.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/mail-integration.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/messages-and-mail-audit.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/PROJECT_DOCUMENTATION.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/01_DOCUMENTATION/PROJECT_STATUS.md,project_owned_untracked,CURRENT_DOC,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/bounce.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/deliverability.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/pacing.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/repository.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/service.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/mail/types.py,project_owned_untracked,UNKNOWN,UNKNOWN,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
REVIEW_PACKAGE_ITERATION4_FINAL_V2/02_BACKEND/supplier_app.py,project_owned_untracked,BACKEND,KEEP,ARCHIVE_LATER,Historical/review/backup copy; current counterparts or frozen snapshot provide recovery evidence; not a runtime path.
